 F		 G
 4.78630092e+02  3.21207543e+01 
 4.89778819e+02  3.19508918e+01 
 5.01187234e+02  3.17799517e+01 
 5.12861384e+02  3.16079808e+01 
 5.24807460e+02  3.14350139e+01 
 5.37031796e+02  3.12610923e+01 
 5.49540874e+02  3.10862504e+01 
 5.62341325e+02  3.09105333e+01 
 5.75439937e+02  3.07339631e+01 
 5.88843655e+02  3.05565778e+01 
 6.02559586e+02  3.03784213e+01 
 6.16595002e+02  3.01995259e+01 
 6.30957344e+02  3.00199220e+01 
 6.45654229e+02  2.98396422e+01 
 6.60693448e+02  2.96587132e+01 
 6.76082975e+02  2.94771813e+01 
 6.91830971e+02  2.92950654e+01 
 7.07945784e+02  2.91123995e+01 
 7.24435960e+02  2.89292106e+01 
 7.41310241e+02  2.87455352e+01 
 7.58577575e+02  2.85613971e+01 
 7.76247117e+02  2.83768197e+01 
 7.94328235e+02  2.81918420e+01 
 8.12830516e+02  2.80064803e+01 
 8.31763771e+02  2.78207662e+01 
 8.51138038e+02  2.76347266e+01 
 8.70963590e+02  2.74483895e+01 
 8.91250938e+02  2.72617699e+01 
 9.12010839e+02  2.70749018e+01 
 9.33254301e+02  2.68878078e+01 
 9.54992586e+02  2.67005177e+01 
 9.77237221e+02  2.65130478e+01 
 1.00000000e+03  2.63254238e+01 
 1.02329299e+03  2.61376715e+01 
 1.04712855e+03  2.59498141e+01 
 1.07151931e+03  2.57618707e+01 
 1.09647820e+03  2.55738739e+01 
 1.12201845e+03  2.53858367e+01 
 1.14815362e+03  2.51977865e+01 
 1.17489755e+03  2.50097486e+01 
 1.20226443e+03  2.48217427e+01 
 1.23026877e+03  2.46337953e+01 
 1.25892541e+03  2.44459227e+01 
 1.28824955e+03  2.42581545e+01 
 1.31825674e+03  2.40705125e+01 
 1.34896288e+03  2.38830216e+01 
 1.38038426e+03  2.36957030e+01 
 1.41253754e+03  2.35085786e+01 
 1.44543977e+03  2.33216771e+01 
 1.47910839e+03  2.31350208e+01 
 1.51356125e+03  2.29486274e+01 
 1.54881662e+03  2.27625352e+01 
 1.58489319e+03  2.25767577e+01 
 1.62181010e+03  2.23913207e+01 
 1.65958691e+03  2.22062561e+01 
 1.69824365e+03  2.20215820e+01 
 1.73780083e+03  2.18373256e+01 
 1.77827941e+03  2.16535171e+01 
 1.81970086e+03  2.14701776e+01 
 1.86208714e+03  2.12873308e+01 
 1.90546072e+03  2.11050078e+01 
 1.94984460e+03  2.09232320e+01 
 1.99526231e+03  2.07420270e+01 
 2.04173794e+03  2.05614224e+01 
 2.08929613e+03  2.03814392e+01 
 2.13796209e+03  2.02021051e+01 
 2.18776162e+03  2.00234400e+01 
 2.23872114e+03  1.98454682e+01 
 2.29086765e+03  1.96682125e+01 
 2.34422882e+03  1.94916876e+01 
 2.39883292e+03  1.93159166e+01 
 2.45470892e+03  1.91409127e+01 
 2.51188643e+03  1.89666872e+01 
 2.57039578e+03  1.87932548e+01 
 2.63026799e+03  1.86206160e+01 
 2.69153480e+03  1.84487796e+01 
 2.75422870e+03  1.82777445e+01 
 2.81838293e+03  1.81074928e+01 
 2.88403150e+03  1.79380174e+01 
 2.95120923e+03  1.77692877e+01 
 3.01995172e+03  1.76012711e+01 
 3.09029543e+03  1.74339328e+01 
 3.16227766e+03  1.72672155e+01 
 3.23593657e+03  1.71010490e+01 
 3.31131121e+03  1.69353510e+01 
 3.38844156e+03  1.67700260e+01 
 3.46736850e+03  1.66049439e+01 
 3.54813389e+03  1.64399746e+01 
 3.63078055e+03  1.62749488e+01 
 3.71535229e+03  1.61096768e+01 
 3.80189396e+03  1.59439281e+01 
 3.89045145e+03  1.57774682e+01 
 3.98107171e+03  1.56099955e+01 
 4.07380278e+03  1.54411821e+01 
 4.16869383e+03  1.52706598e+01 
 4.26579519e+03  1.50980245e+01 
 4.36515832e+03  1.49228092e+01 
 4.46683592e+03  1.47445127e+01 
 4.57088190e+03  1.45625843e+01 
 4.67735141e+03  1.43764113e+01 
 4.78630092e+03  1.41853581e+01 
 4.89778819e+03  1.39887289e+01 
 5.01187234e+03  1.37857984e+01 
 5.12861384e+03  1.35757940e+01 
 5.24807460e+03  1.33579461e+01 
 5.37031796e+03  1.31314431e+01 
 5.49540874e+03  1.28955146e+01 
 5.62341325e+03  1.26493723e+01 
 5.75439937e+03  1.23922925e+01 
 5.88843655e+03  1.21235910e+01 
 6.02559586e+03  1.18426593e+01 
 6.16595002e+03  1.15489982e+01 
 6.30957344e+03  1.12422051e+01 
 6.45654229e+03  1.09220036e+01 
 6.60693448e+03  1.05882643e+01 
 6.76082975e+03  1.02409922e+01 
 6.91830971e+03  9.88035176e+00 
 7.07945784e+03  9.50663926e+00 
 7.24435960e+03  9.12030295e+00 
 7.41310241e+03  8.72190630e+00 
 7.58577575e+03  8.31213422e+00 
 7.76247117e+03  7.89175722e+00 
 7.94328235e+03  7.46162423e+00 
 8.12830516e+03  7.02264505e+00 
 8.31763771e+03  6.57576392e+00 
 8.51138038e+03  6.12193974e+00 
 8.70963590e+03  5.66213826e+00 
 8.91250938e+03  5.19730904e+00 
 9.12010839e+03  4.72838218e+00 
 9.33254301e+03  4.25624668e+00 
 9.54992586e+03  3.78175770e+00 
