 F		G
 2.75422870e+02 -8.04352247e+00 
 2.81838293e+02 -8.21235182e+00 
 2.88403150e+02 -8.38242039e+00 
 2.95120923e+02 -8.55365427e+00 
 3.01995172e+02 -8.72604604e+00 
 3.09029543e+02 -8.89955329e+00 
 3.16227766e+02 -9.07413333e+00 
 3.23593657e+02 -9.24974657e+00 
 3.31131121e+02 -9.42638368e+00 
 3.38844156e+02 -9.60398268e+00 
 3.46736850e+02 -9.78253988e+00 
 3.54813389e+02 -9.96198125e+00 
 3.63078055e+02 -1.01423300e+01 
 3.71535229e+02 -1.03235202e+01 
 3.80189396e+02 -1.05055246e+01 
 3.89045145e+02 -1.06883478e+01 
 3.98107171e+02 -1.08719275e+01 
 4.07380278e+02 -1.10562539e+01 
 4.16869383e+02 -1.12413029e+01 
 4.26579519e+02 -1.14270349e+01 
 4.36515832e+02 -1.16134564e+01 
 4.46683592e+02 -1.18005088e+01 
 4.57088190e+02 -1.19881957e+01 
 4.67735141e+02 -1.21764861e+01 
 4.78630092e+02 -1.23653613e+01 
 4.89778819e+02 -1.25548014e+01 
 5.01187234e+02 -1.27447998e+01 
 5.12861384e+02 -1.29353172e+01 
 5.24807460e+02 -1.31263564e+01 
 5.37031796e+02 -1.33178987e+01 
 5.49540874e+02 -1.35099187e+01 
 5.62341325e+02 -1.37024058e+01 
 5.75439937e+02 -1.38953506e+01 
 5.88843655e+02 -1.40887427e+01 
 6.02559586e+02 -1.42825639e+01 
 6.16595002e+02 -1.44767990e+01 
 6.30957344e+02 -1.46714456e+01 
 6.45654229e+02 -1.48664942e+01 
 6.60693448e+02 -1.50619283e+01 
 6.76082975e+02 -1.52577506e+01 
 6.91830971e+02 -1.54539415e+01 
 7.07945784e+02 -1.56505005e+01 
 7.24435960e+02 -1.58474175e+01 
 7.41310241e+02 -1.60446868e+01 
 7.58577575e+02 -1.62423159e+01 
 7.76247117e+02 -1.64402770e+01 
 7.94328235e+02 -1.66385782e+01 
 8.12830516e+02 -1.68372162e+01 
 8.31763771e+02 -1.70361854e+01 
 8.51138038e+02 -1.72354856e+01 
 8.70963590e+02 -1.74351179e+01 
 8.91250938e+02 -1.76350789e+01 
 9.12010839e+02 -1.78353625e+01 
 9.33254301e+02 -1.80359796e+01 
 9.54992586e+02 -1.82369216e+01 
 9.77237221e+02 -1.84381961e+01 
 1.00000000e+03 -1.86397989e+01 
 1.02329299e+03 -1.88417391e+01 
 1.04712855e+03 -1.90440136e+01 
 1.07151931e+03 -1.92466286e+01 
